,molecule_chembl_id,canonical_smiles
103,CHEMBL2448076,Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
104,CHEMBL3215573,Cl.Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
107,CHEMBL486698,Cl.Nc1c2c(nc3cc(Cl)ccc13)CCCC2
108,CHEMBL555300,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@H](C)c2ccccc2OC)=CC1=O)[C@@H](C)c1ccccc1OC
109,CHEMBL556581,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@@H](C)c2ccccc2OC)=CC1=O)[C@@H](C)c1ccccc1OC
110,CHEMBL540178,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)[C@H](C)c2ccccc2OC)=CC1=O)[C@H](C)c1ccccc1OC
111,CHEMBL1672888,COc1ccc2c(c1)sc1nc(-c3ccc(N4CCCC4)cc3)cn12
112,CHEMBL1672889,CCN(CC)c1ccc(-c2cn3c(n2)sc2cc(OC)ccc23)cc1
113,CHEMBL93124,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1
114,CHEMBL1672890,COc1ccc2c(c1)sc1nc(-c3ccc(N(C)C)cc3)cn12
116,CHEMBL1672892,Oc1ccc2c(c1)sc1nc(-c3ccc(N4CCCC4)cc3)cn12
117,CHEMBL1672893,CCN(CC)c1ccc(-c2cn3c(n2)sc2cc(O)ccc23)cc1
118,CHEMBL1672894,CN(C)c1ccc(-c2cn3c(n2)sc2cc(O)ccc23)cc1
119,CHEMBL1672895,COc1ccc2c(c1)sc1nc(-c3ccc(N)cc3)cn12
120,CHEMBL1671878,CNc1ccc(-c2cn3c(n2)sc2cc(OC)ccc23)cc1
123,CHEMBL2059201,Oc1ccc(/C=C/c2cc(/C=C/c3ccc(O)cc3)ncn2)cc1
124,CHEMBL2059202,Oc1cccc(/C=C/c2cc(/C=C/c3cccc(O)c3)ncn2)c1
125,CHEMBL2059203,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)ncn2)ccc1O
126,CHEMBL2059204,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)c(O)c3)ncn2)cc1O
127,CHEMBL2059205,CN(C)c1cc(/C=C/c2cc(/C=C/c3ccc(O)c(N(C)C)c3)ncn2)ccc1O
128,CHEMBL2059206,CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)c(O)c3)ncn2)cc1O
129,CHEMBL2059207,COc1nc(/C=C/c2ccc(O)cc2)cc(/C=C/c2ccc(O)cc2)n1
130,CHEMBL2059208,COc1nc(/C=C/c2cccc(O)c2)cc(/C=C/c2cccc(O)c2)n1
131,CHEMBL2059209,COc1nc(/C=C/c2ccc(O)c(OC)c2)cc(/C=C/c2ccc(O)c(OC)c2)n1
132,CHEMBL2059210,COc1nc(/C=C/c2ccc(OC)c(O)c2)cc(/C=C/c2ccc(OC)c(O)c2)n1
133,CHEMBL2059211,COc1nc(/C=C/c2ccc(O)c(N(C)C)c2)cc(/C=C/c2ccc(O)c(N(C)C)c2)n1
134,CHEMBL2059212,COc1nc(/C=C/c2ccc(N(C)C)c(O)c2)cc(/C=C/c2ccc(N(C)C)c(O)c2)n1
135,CHEMBL2059213,CSc1nc(/C=C/c2ccc(O)cc2)cc(/C=C/c2ccc(O)cc2)n1
136,CHEMBL2059214,CSc1nc(/C=C/c2cccc(O)c2)cc(/C=C/c2cccc(O)c2)n1
137,CHEMBL2059215,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)nc(SC)n2)ccc1O
138,CHEMBL2059216,COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)c(O)c3)nc(SC)n2)cc1O
139,CHEMBL2059217,CSc1nc(/C=C/c2ccc(O)c(N(C)C)c2)cc(/C=C/c2ccc(O)c(N(C)C)c2)n1
140,CHEMBL2059218,CSc1nc(/C=C/c2ccc(N(C)C)c(O)c2)cc(/C=C/c2ccc(N(C)C)c(O)c2)n1
141,CHEMBL1272225,Oc1ccc(/C=C/c2cccc(/C=C/c3ccc(O)cc3)c2)cc1
142,CHEMBL2059219,Oc1cccc(/C=C/c2cccc(/C=C/c3cccc(O)c3)c2)c1
143,CHEMBL2059386,COc1cc(/C=C/c2cccc(/C=C/c3ccc(O)c(OC)c3)c2)ccc1O
144,CHEMBL2059387,COc1ccc(/C=C/c2cccc(/C=C/c3ccc(OC)c(O)c3)c2)cc1O
145,CHEMBL248338,CN(C)c1cc(/C=C/c2cccc(/C=C/c3ccc(O)c(N(C)C)c3)c2)ccc1O
146,CHEMBL248131,CN(C)c1ccc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)c(O)c3)c2)cc1O
147,CHEMBL2059388,Oc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)cc3)c2)cc1
148,CHEMBL2059389,Oc1cccc(/C=C/c2cc(O)cc(/C=C/c3cccc(O)c3)c2)c1
149,CHEMBL2059390,COc1cc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)c(OC)c3)c2)ccc1O
150,CHEMBL2059391,COc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(OC)c(O)c3)c2)cc1O
151,CHEMBL2059392,CN(C)c1cc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)c(N(C)C)c3)c2)ccc1O
152,CHEMBL2059393,CN(C)c1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(N(C)C)c(O)c3)c2)cc1O
153,CHEMBL2059394,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)CN)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)O)[C@@H](C)CC
155,CHEMBL2059395,COc1nc(/C=C/c2ccccc2)cc(/C=C/c2ccccc2)n1
156,CHEMBL2059396,CSc1nc(/C=C/c2ccccc2)cc(/C=C/c2ccccc2)n1
157,CHEMBL2059397,C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1
158,CHEMBL2059398,Oc1cc(/C=C/c2ccccc2)cc(/C=C/c2ccccc2)c1
159,CHEMBL465398,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
160,CHEMBL499997,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1
161,CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
